"","ID","Effect_ID","Author","PubYear","PubType","PeerReview","N","Effect_Info","yi","vi","Effect_Page","AdaptMeasures","AdaptMethod","AdaptMethod_Specific","SubjAdapt_Definition","CogAbilMeasure","CA_Measure","FinancSupport","Age","AgeInfo","Sex","Men_Prop","Country","Country_dichot","Sample","Sample_dichot","Duration","Task_type","Task","Complexity_component","Complexity_coordinative","Complexity_dynamic","dynamic_dichot","Comments"
"85",22,85,"Keith",2010,"1",1,110,"CA and AP",0.39,0.00659572853211009,"109","3",2,3,,"Zahlen-Verbindungs-Test","Specific",0,24,"SD = 6.1",3,14,"Germany","Other","1",1,"180","Creating slides","Other",1,1,"3",1,"Only study 2 is relevant"
"86",23,86,"Ferro",2014,"3",0,102,"CA and AP (social - Integr)",0.089,0.00974475982416832,"37","4 (1+2)",1,2,"narrow","Multidimensional Aptitude Battery-II (MAB-II,  Performance part only)","Specific",0,31.15,"between 22 and 48",3,89.4,"USA","USA","2",2,"","",,,,"",,""
"87",23,87,"Ferro",2014,"3",0,90,"CA and AP (social - Learn)",-0.118,0.0109252345817528,"37","4 (1+2)",1,1,"narrow","Multidimensional Aptitude Battery-II (MAB-II,  Performance part only)","Specific",0,31.15,"between 22 and 48",3,89.4,"USA","USA","2",2,"","",,,,"",,""
"88",24,88,"Baumgartner",2015,"4",0,165,"CA and AP (subjective)",0.1,0.00597621951219512,"59","4(1+2+3)",1,,"narrow","Wonderlic Personnel Test","General",0,24,"SD = 7",,63.03,"USA","USA","1",1,"150","",,,,"",,"N = 33 (=Teams consisting of 5 people --> 165)"
"89",24,89,"Baumgartner",2015,"4",0,165,"CA and AP (objective)",0.21,0.00557161469512195,"59","4(1+2+3)",2,3,,"Wonderlic Personnel Test","General",0,24,"SD = 7",,63.03,"USA","USA","1",1,"150","Computer-based Aerial Port Simulation","Simulation/video game",1,1,"3",1,"N = 33 (=Teams consisting of 5 people --> 165)"
"90",25,90,"Jundt",2009,"3",0,283,"CA and AP",0.19,0.00329469223404255,"141","3",2,3,,"SAT or ACT","ACT/SAT/GPA",0,19.6,"between 18 and 30",3,45.2,"USA","USA","1",1,"180","TANDEM (radar-tracking simulation)","Simulation/video game",1,1,"1 or 2 depending on the condition",,"Orginally N = 378  ---> 283"
"91",26,91,"Schuelke",2009,"1",1,575,"CA and AP",0.31,0.00142340628919861,"1080","3",2,3,,"Raven Advanced Progressive Matrices (APM)","Specific",0,,"",2,100,"USA","USA","1",1,"","Space Fortress (video game)","Simulation/video game",1,1,"2",0,""
"92",27,92,"Upchurch",2013,"4",0,110,"CA and AP (subjective)",0.07,0.00908462394495413,"28","4(1+3)",1,1,"broad","SAT","ACT/SAT/GPA",0,19.18,"SD = 1.20",3,47.57,"USA","USA","1",1,"300","",,,,"",,""
"93",27,93,"Upchurch",2013,"4",0,110,"CA and AP (objective)",0.1,0.00899174311926606,"28","4(1+3)",2,3,,"SAT","ACT/SAT/GPA",0,19.18,"SD = 1.20",3,47.57,"USA","USA","1",1,"300","Steel Beasts Pro PE (battle tank simulation)","Simulation/video game",1,1,"2",0,""
"94",28,94,"Kluge",2011,"1",1,38,"CA and AP (fault diagnoses)",0.26,0.02349648,"112","3",2,3,,"Wonderlic Personnel Test","General",1,18.9,"between 17 and 25",3,97.37,"Germany","Other","5, Azubis",2,"70","Cabin Air Management System","Simulation/video game",1,1,"2",0,""
"95",28,95,"Kluge",2011,"1",1,38,"CA and AP (time out of range)",-0.01,0.0270216218918919,"112","3",2,3,,"Wonderlic Personnel Test","General",1,18.9,"between 17 and 25",3,97.37,"Germany","Other","5, Azubis",2,"70","Cabin Air Management System","Simulation/video game",1,1,"2",0,""
"96",29,96,"Carter",2010,"1",1,161,"CA and AP (immediate)",0.55,0.0030406640625,"658","3",2,3,,"Wonderlic Personnel Test","General",0,39.7,"between 20 and 66 (SD = 13.4)",3,44.1,"USA","USA","4",2,"(210 + 75)","Microsoft Access (database software)","Other",1,1,"3",1,""
"97",29,97,"Carter",2010,"1",1,161,"CA and AP (delayed)",0.52,0.003326976,"658","3",2,3,,"Wonderlic Personnel Test","General",0,39.7,"between 20 and 66 (SD = 13.4)",3,44.1,"USA","USA","4",2,"(210 + 75)","Microsoft Access (database software)","Other",1,1,"3",1,""
"98",30,98,"Arthur",2007,"7",1,192,"CA and AP",0.15,0.00500265052356021,"54","3",2,3,,"Raven Advanced Progressive Matrices (APM)","Specific",1,20.94,"SD = 3.67",3,78,"USA","USA","1",1,"","Jane's Fleet Command (warfare simulation)","Simulation/video game",1,1,"3",1,""
"99",31,99,"Grim",2010,"4",0,100,"CA and AP (supervisor)",0.045,0.0100601424305556,"53","4(1+2+3)",1,2,"narrow","Armed Services Vocational Aptitude Battery (ASVAB)","General",0,25.7,"SD = 5",2,100,"USA","USA","2",2,"","",,,,"",,""
"100",31,100,"Grim",2010,"4",0,100,"CA and AP (I-ADAPT-M)",-0.007,0.0101000202262727,"53","4(1+2+3)",1,1,"broad","Armed Services Vocational Aptitude Battery (ASVAB)","General",0,25.7,"SD = 5",2,100,"USA","USA","2",2,"","",,,,"",,""
"101",31,101,"Grim",2010,"4",0,100,"CA and AP (ASJT)",0.019,0.0100937184880909,"53","4(1+2+3)",2,3,,"Armed Services Vocational Aptitude Battery (ASVAB)","General",0,25.7,"SD = 5",2,100,"USA","USA","2",2,"","SJT (business and military setting)","SJT",1,1,"3",1,""
"102",32,102,"Hardy",2014,"1",1,120,"CA and AP",0.17,0.0079246656302521,"62","3",2,3,,"ACT +  Raven Advanced Progressive Matrices (APM)",,0,19.33,"SD = 1.77",2,100,"USA","USA","1",1,"","Unreal Tournament 2004 (video game)","Simulation/video game",1,1,"3",1,""
"103",33,103,"Good",2013,"1",1,181,"CA (crystallized) and AP ",0.24,0.00493398755555556,"444","3",2,3,,"Basic Word Vocabulary Test","Specific",0,21,"between 18 and 25",3,55.8,"USA","USA","1",1,"45","Networked Fire Chief","Simulation/video game",1,1,"2",0,""
"104",33,104,"Good",2013,"1",1,181,"CA (fluid) and AP ",0.45,0.00353336805555556,"444","3",2,3,,"Card Rotations Test","Specific",0,21,"between 18 and 25",3,55.8,"USA","USA","1",1,"45","Networked Fire Chief","Simulation/video game",1,1,"2",0,""
"105",34,105,"Hardy",2015,"3",0,305,"CA and AP (transfer performance)",0.15,0.00314311266447368,"77","3",2,3,,"ACT/SAT + Raven Advanced Progressive Matrices",,0,19.49,"SD = 2.23, between 18 and 38",2,100,"USA","USA","1",1,"180, of which 6 AP","Unreal Tournament 2004 (video game)","Simulation/video game",1,1,"3",1,""
"106",35,106,"Webb",2016,"4",0,238,"CA and AP",0.33,0.00335046080168776,"59","3",2,3,,"ACT/SAT","ACT/SAT/GPA",0,19.49,"SD = 1.50",3,36.6,"USA","USA","1",1,"120","TANDEM (radar-tracking simulation)","Simulation/video game",1,1,"3",1,""
"107",36,107,"Kozlowski",2006,"1",1,542,"CA and AP (strategic performance)",0.31,0.00151023144177449,"909","3",2,3,,"ACT/SAT","ACT/SAT/GPA",1,,"87% between 18 and 21",3,42,"USA","USA","1",1,"180, of which 10 AP","TANDEM (radar-tracking simulation)","Simulation/video game",1,1,"3",1,"diverging sample sizes (abstract = 524 vs main text = 542)"
"108",36,108,"Kozlowski",2006,"1",1,542,"CA and AP (basic performance)",0.43,0.00122807395563771,"909","3",2,3,,"ACT/SAT","ACT/SAT/GPA",1,,"87% between 18 and 21",3,42,"USA","USA","1",1,"180, of which 10 AP","TANDEM (radar-tracking simulation)","Simulation/video game",1,1,"3",1,"diverging sample sizes (abstract = 524 vs main text = 542)"
"109",37,109,"Ely",2009,"3",0,148,"CA and AP (adaptive transfer)",0.55,0.00330956632653061,"42","3",2,3,,"Wonderlic Personnel Test","General",0,22,"",3,43.24,"USA","USA","1",1,"180","TANDEM (radar-tracking simulation)","Simulation/video game",1,1,"3",1,""
"110",38,110,"Pleban",2011,"7",1,42,"CA and AP (Creativity)",0.04,0.0243122575609756,"16","4(1+3)",1,1,"broad","Wonderlic Personnel Test","General",1,23.4,"23.22 (N = 10), 23.39 (N = 32)",2,100,"USA","USA","2",2,"480","",,,,"",,"No age reported for the subsample (objective measure)"
"111",38,111,"Pleban",2011,"7",1,42,"CA and AP (Uncertainty adaptability)",-0.05,0.0242684451219512,"16","4(1+3)",1,1,"broad","Wonderlic Personnel Test","General",1,23.4,"23.22 (N = 10), 23.39 (N = 32)",2,100,"USA","USA","2",2,"480","",,,,"",,"No age reported for the subsample (objective measure)"
"112",38,112,"Pleban",2011,"7",1,42,"CA and AP (Learning adaptability)",0.08,0.024079047804878,"16","4(1+3)",1,1,"broad","Wonderlic Personnel Test","General",1,23.4,"23.22 (N = 10), 23.39 (N = 32)",2,100,"USA","USA","2",2,"480","",,,,"",,"No age reported for the subsample (objective measure)"
"113",38,113,"Pleban",2011,"7",1,23,"CA and AP (transfer performance)",0.34,0.03555288,"25","4(1+3)",2,3,,"Wonderlic Personnel Test","General",1,,"",2,100,"USA","USA","2",2,"480","Scenario (military mission planning)","Simulation/video game",1,1,"3",1,"No age reported for the subsample (objective measure)"
"114",39,114,"Campbell",2007,"3",0,161,"CA and AP (Delayed Task Performance)",0.517,0.00335540880950625,"53","3",2,3,,"Wonderlic Personnel Test","General",0,39.7,"SD = 13.4",3,44.1,"USA","USA","4",2,"285","Microsoft Access (database software)","Other",1,1,"3",1,""
"115",39,115,"Campbell",2007,"3",0,161,"CA and AP (Immediate Task Performance)",0.555,0.00299268375390625,"53","3",2,3,,"Wonderlic Personnel Test","General",0,39.7,"SD = 13.4",3,44.1,"USA","USA","4",2,"285","Microsoft Access (database software)","Other",1,1,"3",1,""
"116",40,116,"Young",2015,"4",0,173,"CA and AP (Immediate Performance)",0.23,0.00521510703488372,"36","3",2,3,,"Wonderlic Personnel Test","General",0,,"",,,"USA","USA","1",1,"","Excel (spreadsheet program)","Other",1,1,"3",1,""
"117",40,117,"Young",2015,"4",0,173,"CA and AP (Delayed Performance)",0.18,0.00544331255813954,"36","3",2,3,,"Wonderlic Personnel Test","General",0,,"",,,"USA","USA","1",1,"","Excel (spreadsheet program)","Other",1,1,"3",1,""
"118",41,118,"Holladay",2003,"1",1,82,"CA and AP (far transfer)",0.12,0.0119926834567901,"1099","3",2,3,,"Wonderlic Personnel Test","General",0,,"",3,43.9,"USA","USA","1",1,"","TIDE2 (decision-making simulation with aircrafts)","Simulation/video game",1,1,"2",0,""
"119",42,119,"Bhatia",2015,"4",0,188,"CA and AP (IADAPT)",-0.14,0.00514002224598931,"58","4(1+3)",1,1,"broad","ACT/SAT + GPA","ACT/SAT/GPA",0,19.4,"SD = 1.7",3,23.72,"USA","USA","1",1,"30","",,,,"",,"27 participants being excluded from all future analyses (p. 56)"
"120",42,120,"Bhatia",2015,"4",0,188,"CA and AP (SJT, Identify early signs of change)",0.03,0.0053379722459893,"58","4(1+3)",2,3,,"ACT/SAT + GPA","ACT/SAT/GPA",0,19.4,"SD = 1.7",3,23.72,"USA","USA","1",1,"30","SJT (work)","SJT",1,1,"3",1,"27 participants being excluded from all future analyses (p. 56)"
"121",42,121,"Bhatia",2015,"4",0,188,"CA and AP (SJT, Adjust to signs of change)",0.07,0.00529531556149733,"58","4(1+3)",2,3,,"ACT/SAT + GPA","ACT/SAT/GPA",0,19.4,"SD = 1.7",3,23.72,"USA","USA","1",1,"30","SJT (work)","SJT",1,1,"3",1,"27 participants being excluded from all future analyses (p. 56)"
"122",42,122,"Bhatia",2015,"4",0,188,"CA and AP (SJT, Positive attitude)",0,0.0053475935828877,"58","4(1+3)",2,3,,"ACT/SAT + GPA","ACT/SAT/GPA",0,19.4,"SD = 1.7",3,23.72,"USA","USA","1",1,"30","SJT (work)","SJT",1,1,"3",1,"27 participants being excluded from all future analyses (p. 56)"
"123",42,123,"Bhatia",2015,"4",0,188,"CA and AP (SJT, Initiate change)",-0.08,0.00527936342245989,"58","4(1+3)",2,3,,"ACT/SAT + GPA","ACT/SAT/GPA",0,19.4,"SD = 1.7",3,23.72,"USA","USA","1",1,"30","SJT (work)","SJT",1,1,"3",1,"27 participants being excluded from all future analyses (p. 56)"
"124",42,124,"Bhatia",2015,"4",0,188,"CA and AP (SJT, Explore new tools and approaches)",-0.01,0.00534652411764706,"58","4(1+3)",2,3,,"ACT/SAT + GPA","ACT/SAT/GPA",0,19.4,"SD = 1.7",3,23.72,"USA","USA","1",1,"30","SJT (work)","SJT",1,1,"3",1,"27 participants being excluded from all future analyses (p. 56)"
"125",43,125,"Bütikofer ",2017,"8 (working paper)",0,30387,"CA and AP",0.123,3.1921637814816e-05,"40","2",1,2,"broad","logical, mathematical skills test + spatial visualization ability test","Specific",1,20,"",2,100,"Norway","Other","2",2,"150","",,,,"",,""
"126",43,126,"Bütikofer ",2017,"8 (working paper)",0,30387,"CA and AP",0.118,3.1999798518265e-05,"40","2",1,2,"broad","Processing speed","Specific",1,20,"",2,100,"Norway","Other","2",2,"150","",,,,"",,""
"127",44,127,"Frank",2017,"1",1,33,"CA and AP",0.385,0.0226725203320312,"7","3",2,3,,"Wonderlic Personnel Test","General",1,22.36,"SD = 3.06, Range 18-30",3,69.7,"Germany","Other","1",1,"AP less than 300","Waste Water Treatment Simulation","Simulation/video game",1,1,"2",0,""
"128",44,128,"Frank",2017,"1",1,33,"CA and AP",0.142,0.0300024558405,"7","3",2,3,,"Wilde Intelligence Test-2 (Memory)","Specific",1,22.36,"SD = 3.06, Range 18-30",3,69.7,"Germany","Other","1",1,"AP less than 300","Waste Water Treatment Simulation","Simulation/video game",1,1,"2",0,""
"129",45,129,"Stasielowicz",2019,"1",1,139,"CA and AP (post-change errors)",0.3,0.00600072463768116,"data set","4(1+3)",2,3,,"Wilde-Intelligence-Test (reasoning)","Specific",0,21.41,"SD = 4.36, Range 18-56",3,17.27,"Germany","Other","1",1,"15","Stroop task","Other",1,1,"2",0,""
"130",45,130,"Stasielowicz",2019,"1",1,139,"CA and AP (post-change interference)",0,0.0072463768115942,"data set","4(1+3)",2,3,,"Wilde-Intelligence-Test (reasoning)","Specific",0,21.41,"SD = 4.36, Range 18-56",3,17.27,"Germany","Other","1",1,"15","Stroop task","Other",1,1,"2",0,""
"131",45,131,"Stasielowicz",2019,"1",1,139,"CA and AP (post-change reaction times)",0.12,0.00703918376811594,"data set","4(1+3)",2,3,,"Wilde-Intelligence-Test (reasoning)","Specific",0,21.41,"SD = 4.36, Range 18-56",3,17.27,"Germany","Other","1",1,"15","Stroop task","Other",1,1,"2",0,""
"132",45,132,"Stasielowicz",2019,"1",1,139,"CA and AP (task-based)",0.02,0.00724058086956522,"data set","4(1+3)",1,1,"narrow","Wilde-Intelligence-Test (reasoning)","Specific",0,21.41,"SD = 4.36, Range 18-56",3,17.27,"Germany","Other","1",1,"15","",,,,"",,""
"133",45,133,"Stasielowicz",2019,"1",1,139,"CA and AP (social)",-0.08,0.00715392,"data set","4(1+3)",1,1,"narrow","Wilde-Intelligence-Test (reasoning)","Specific",0,21.41,"SD = 4.36, Range 18-56",3,17.27,"Germany","Other","1",1,"15","",,,,"",,""
