id,title,year,study.num,assumed,file.drawer,data.source,prop.women,video.know,dim.v.dis,dim.pos.v.neg,emo,dur.manip,paq,ini.v.mod,stim,proc,proc.control,proc.aware,w.v.b,es.calc.method,b.treat,b.treat.n,b.treat.m,b.treat.sd,b.treat.se,b.compa,b.compa.n,b.compa.m,b.compa.sd,b.compa.se,b.tval,b.fval,b.pval.df,b.pval,w.n,w.treat,w.treat.m,w.treat.sd,w.treat.se,w.compa,w.compa.m,w.compa.sd,w.compa.se,w.tval,w.pval.df,w.pval,w.fval,es.dir.fpval,es,es.var,se
29,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,1,no,no,peer-reviewed,0.733333333,yes,discrete,NA,fear,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,fear facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,2.4,NA,NA,NA,NA,0.309838668,0.017466667,0.132161517
29,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,1,no,no,peer-reviewed,0.733333333,yes,discrete,NA,happiness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,happy facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,6.64,NA,NA,NA,NA,0.857220314,0.022790222,0.150964308
29,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,1,no,no,peer-reviewed,0.733333333,yes,discrete,NA,sadness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,sadness facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,10.18,NA,NA,NA,NA,1.314232349,0.031060056,0.176238632
30,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,2,no,no,peer-reviewed,0,yes,discrete,NA,anger,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Angry facial posing,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,2.11,NA,NA,NA,NA,0.391817164,0.037129667,0.192690599
30,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,2,no,no,peer-reviewed,0,yes,discrete,NA,disgust,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Disgust facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,1.24,NA,NA,NA,NA,0.230262219,0.035396908,0.188140661
30,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,2,no,no,peer-reviewed,0,yes,discrete,NA,fear,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,fear facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,-0.86,NA,NA,NA,NA,-0.159697991,0.034922473,0.186875556
30,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,2,no,no,peer-reviewed,0,yes,discrete,NA,happiness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,happy facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,-2.64,NA,NA,NA,NA,-0.490235693,0.038626397,0.196535995
30,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,2,no,no,peer-reviewed,0,yes,discrete,NA,sadness,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,sadness facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,1.36,NA,NA,NA,NA,0.25254566,0.035582402,0.188632982
31,Emotional suppression,1993,NA,no,yes,dissertation,1,yes,discrete,NA,happiness,no,no,modulate,film,suppress-control,yes,yes,between,mean,No suppression (amusement self-report),90,4.7,1.517893277,0.16,Suppression (amusement self-report),90,4.04,1.992234926,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372667302,0.022608003,0.150359578
31,Emotional suppression,1993,NA,no,yes,dissertation,1,yes,discrete,NA,happiness,no,no,modulate,film,suppress-control,yes,yes,between,mean,No suppression (happiness self-report),90,2.85,1.707629936,0.18,Suppression (happiness self-report),90,2.69,1.897366596,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088642999,0.022244049,0.149144389
31,Emotional suppression,1993,NA,no,yes,dissertation,1,yes,dimensional,positive,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,No suppression (pleasant self-report),90,1.87,1.423024947,0.15,Suppression (pleasant self-report),90,1.57,1.612761607,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197257461,0.022330307,0.149433286
31,Emotional suppression,1993,NA,no,yes,dissertation,1,yes,discrete,NA,sadness,no,no,modulate,film,suppress-control,yes,yes,between,mean,No suppression (sad self-report),90,4.09,1.802498266,0.19,Suppression (sad self-report),90,3.79,1.992234926,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15791661,0.022291493,0.149303361
31,Emotional suppression,1993,NA,no,yes,dissertation,1,yes,dimensional,positive,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,No suppression (unpleasant self-report),90,1.76,1.992234926,0.21,Suppression (unpleasant self-report),90,2.19,1.802498266,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.226347142,0.022364536,0.149547772
32,"Emotional Suppression: Physiology, Self-Report, and Expressive Behavior",1993,1/2 (they combined data,no,no,peer-reviewed,0.494117647,yes,discrete,NA,disgust,no,no,modulate,film,suppress-control,yes,yes,between,mean,No-suppression,43,4.874865964,2.075230987,0.316469759,Suppression,42,4.789937885,2.179143347,0.336249119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039924902,0.047074714,0.216967081
33,Exploring the positive and negative implications of facial feedback.,2012,2,no,no,peer-reviewed,1,no,NA,NA,NA,yes,yes,NA,sentences,exp.pose-exp.pose,no,NA,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Eyebrows-up,NA,NA,NA,Eyebrows down,NA,NA,NA,NA,23,0.002,NA,positive,0.711365374,0.052209181,0.228493285
33,Exploring the positive and negative implications of facial feedback.,2012,2,no,no,peer-reviewed,1,no,NA,NA,NA,yes,yes,NA,sentences,exp.pose-suppress,no,NA,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Eyebrows-up,NA,NA,NA,Eyebrows middle,NA,NA,NA,NA,23,0.012,NA,positive,0.55678269,0.048125145,0.21937444
34,Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing,2012,1,no,yes,dissertation,0.568,yes,discrete,NA,happiness,yes,no,modulate,film,suppress-control,yes,yes,between,mean,Express humor (discrete self-report),47,5.51,1.4,0.204210988,Inhibit humor (discrete self-report),52,4.48,1.58,0.219106578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687886877,0.042897205,0.207116405
34,Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing,2012,1,no,yes,dissertation,0.568,yes,discrete,NA,sadness,yes,no,modulate,film,suppress-control,yes,yes,between,mean,Express sorrow (discrete self-report),48,4.4,2.07,0.298778764,Inhibit sorrow (discrete self-report),45,4.22,2.36,0.351808028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081265362,0.043091061,0.207583866
34,Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing,2012,1,no,yes,dissertation,0.568,yes,dimensional,negative,NA,yes,no,modulate,film,suppress-control,yes,yes,between,mean,Inhibit sorrow (dimensional self-report),45,2.49,1.69,0.251930325,Express sorrow (dimensional self-report),48,2.21,1.61,0.232383483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169782792,0.043210535,0.207871439
34,Expressive Inhibition Following Trauma: Implications for Understanding Posttraumatic Numbing,2012,1,no,yes,dissertation,0.568,yes,dimensional,positive,NA,yes,no,modulate,film,suppress-control,yes,yes,between,mean,Express humor (dimensional self-report),47,5.62,1.38,0.201293688,Inhibit humor (dimensional self-report),52,5.25,1.33,0.184437815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273276198,0.040884536,0.202199248
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,positive,NA,no,no,modulate,audio,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,amplify,6.63,1.11,NA,Spontaneous response,6.35,1.1,NA,NA,NA,NA,NA,NA,0.253385883,0.033293619,0.182465392
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,negative,NA,no,no,modulate,audio,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Spontaneous response,4.2,1.53,NA,amplify,3.27,1.25,NA,NA,NA,NA,NA,NA,0.659110492,0.039264946,0.198153844
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,positive,NA,no,no,modulate,audio,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,amplify,6.45,1.41,NA,Spontaneous response,6.13,1.65,NA,NA,NA,NA,NA,NA,0.207246757,0.034049187,0.184524218
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,negative,NA,no,no,modulate,audio,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Spontaneous response,4.63,1.96,NA,amplify,4.38,1.59,NA,NA,NA,NA,NA,NA,0.138604698,0.033653521,0.18344896
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,positive,NA,no,no,modulate,audio,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Spontaneous response,6.35,1.1,NA,Suppress,6.4,1.09,NA,NA,NA,NA,NA,NA,-0.045660672,0.032291692,0.179698892
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,negative,NA,no,no,modulate,audio,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Suppress,3.49,1.24,NA,Spontaneous response,4.2,1.53,NA,NA,NA,NA,NA,NA,-0.504409467,0.036361757,0.190687589
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,positive,NA,no,no,modulate,audio,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Spontaneous response,6.13,1.65,NA,Suppress,6.01,1.58,NA,NA,NA,NA,NA,NA,0.074251114,0.03342522,0.182825656
35,Expressive suppression and enhancement during music-elicited emotions in younger and older adults,2015,1,no,no,peer-reviewed,0.590163934,no,dimensional,negative,NA,no,no,modulate,audio,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Suppress,4.41,1.73,NA,Spontaneous response,4.63,1.96,NA,NA,NA,NA,NA,NA,-0.118552311,0.033567578,0.183214567
36,Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation,2011,1,no,yes,dissertation,0.541666667,yes,discrete,NA,disgust,no,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,European American Exaggerate (Amplification),3.07,2.42,NA,European American Control (watch),1.93,2.37,NA,NA,NA,NA,NA,NA,0.475913872,0.021408596,0.146316767
36,Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation,2011,1,no,yes,dissertation,0.541666667,yes,discrete,NA,disgust,no,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,Asian American Exaggerate (Amplification),2.63,2.69,NA,Asian American Control (watch),2.19,2.63,NA,NA,NA,NA,NA,NA,0.165381983,0.023038082,0.151783009
36,Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation,2011,1,no,yes,dissertation,0.541666667,yes,discrete,NA,disgust,no,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,European American Control (watch),1.93,2.37,NA,European American Suppress,2.59,2.54,NA,NA,NA,NA,NA,NA,-0.268356991,0.019923226,0.141149657
36,Expressive suppression of negative emotion A comparison of Asian American and European American norms for emotion regulation,2011,1,no,yes,dissertation,0.541666667,yes,discrete,NA,disgust,no,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,Asian American Control (watch),2.19,2.63,NA,Asian American Suppress,2.89,2.68,NA,NA,NA,NA,NA,NA,-0.263618426,0.023516985,0.153352486
37,Facial Action and Emotional Language: ERP Evidence that Blocking Facial Feedback Selectively Impairs Sentence Comprehension,2015,1,yes,no,peer-reviewed,0.555555556,no,NA,NA,NA,NA,yes,NA,NA,NA,no,NA,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,LIPS ONLY (control),NA,NA,NA,TEETH and LIPS (suppression manipulation),NA,NA,NA,NA,17,0.5,NA,negative,-0.162444837,0.056288565,0.237252112
38,Facial feedback and social input: Effects on laughter and enjoyment in children with autism spectrum disorders.,2016,1,no,no,peer-reviewed,0.162790698,NA,dimensional,positive,NA,NA,no,modulate,film,incidental-control,yes,no,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Pencil in teeth,3.15,NA,NA,Control,2.85,NA,NA,2.77,NA,NA,NA,NA,0.42242104,0.025330692,0.159156188
39,Facial feedback effects on impression formation.,1993,1,no,no,peer-reviewed,1,no,NA,NA,NA,no,yes,NA,social context,exaggerate-control,yes,yes,between,mean,Display,10,15.4,1.9,NA,Control,10,12.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.232518204,0.237977528,0.487829405
39,Facial feedback effects on impression formation.,1993,1,no,no,peer-reviewed,1,no,NA,NA,NA,no,yes,NA,social context,suppress-control,yes,yes,between,mean,Control,10,12.8,2.3,NA,Conceal,10,12,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312228557,0.202437167,0.44993018
40,Facial feedback effects on impression formation.,1993,2,no,no,peer-reviewed,1,no,NA,NA,NA,no,yes,NA,social context,exaggerate-control,yes,yes,between,mean,Display,10,9.8,1.1,NA,Control,10,7.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.610684963,0.264857651,0.514643227
40,Facial feedback effects on impression formation.,1993,2,no,no,peer-reviewed,1,no,NA,NA,NA,no,yes,NA,social context,suppress-control,yes,yes,between,mean,Control,10,7.1,2.1,NA,Conceal,10,9.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38053698,0.247647059,0.497641496
41,Facial feedback mechanisms in autistic spectrum disorders.,2008,3,no,no,peer-reviewed,NA,no,NA,NA,NA,yes,yes,NA,pictures,incidental-control,yes,no,between,fval,Non-ASD between teeth,12,NA,NA,NA,Non-ASD in hand,12,NA,NA,NA,NA,5.96,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,positive,0.996661093,0.187361111,0.432852297
42,Facilitating the Furrowed Brow: An Unobtrusive Test of the Facial Feedback Hypothesis Applied to Unpleasant Affect,1992,1,no,no,peer-reviewed,0.3,no,discrete,NA,sadness,yes,no,modulate,pictures,incidental-suppress,no,NA,within,fval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,corrugator contraction condition,29.67,NA,NA,corrugator non-contraction condition,26.92,NA,NA,NA,NA,NA,5.05,positive,0.432477788,0.040500686,0.201247822
43,Feeling and facial efference: Implications of the vascular theory of emotion,1989,3,no,no,peer-reviewed,NA,no,NA,NA,NA,no,yes,NA,audio,incidental-incidental,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,o sound,NA,NA,NA,u sound,NA,NA,NA,7.7,NA,NA,NA,NA,1.265872202,0.048681519,0.220638889
44,Feeling and facial efference: Implications of the vascular theory of emotion,1989,4,no,no,peer-reviewed,0,NA,dimensional,NA,NA,no,no,initiate,NA,incidental-incidental,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,ah sound,NA,NA,NA,u sound,NA,NA,NA,2.41,NA,NA,NA,NA,0.472639886,0.04275747,0.206778796
44,Feeling and facial efference: Implications of the vascular theory of emotion,1989,4,no,no,peer-reviewed,0,NA,dimensional,NA,NA,no,no,initiate,NA,incidental-incidental,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,e sounds,NA,NA,NA,u sound,NA,NA,NA,1.58,NA,NA,NA,NA,0.309863494,0.040307988,0.200768494
45,Happiness and stereotypic thinking in social judgment.,1994,2,no,no,peer-reviewed,0.725490196,no,NA,NA,NA,NA,no,initiate,NA,exp.pose-control,yes,yes,between,tval,Smiling,25.5,NA,NA,NA,Loosely contracted fist,25.5,NA,NA,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548909793,0.081385313,0.285281113
46,Hiding feelings: The acute effects of inhibiting negative and positive emotion,1997,1,no,no,peer-reviewed,1,yes,discrete,NA,happiness,no,no,modulate,film,suppress-control,yes,yes,between,tval,No-suppression,90,4.7,NA,NA,Suppression,90,4.04,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372677996,0.022608025,0.150359651
46,Hiding feelings: The acute effects of inhibiting negative and positive emotion,1997,1,no,no,peer-reviewed,1,yes,discrete,NA,sadness,no,no,modulate,film,suppress-control,yes,yes,between,tval,No-suppression,90,4.09,NA,NA,Suppression,90,3.79,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159506182,0.022292895,0.149308054
47,How does facial feedback modulate emotional experience?,2009,1,no,no,peer-reviewed,0.634328358,no,dimensional,positive,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,No instructions/manipulation,35,2.34,1.597341541,0.27,no movement,34,2.22,1.924214125,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067953398,0.058016655,0.240866466
47,How does facial feedback modulate emotional experience?,2009,1,no,no,peer-reviewed,0.634328358,no,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,No instructions/manipulation,35,2.2,2.070627924,0.35,no movement,34,1.04,2.507309315,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505201788,0.059832678,0.244607191
48,"How to handle anxiety: The effects of reappraisal, acceptance, and suppression strategies on anxious arousal",2009,1,no,no,peer-reviewed,NA,yes,discrete,NA,fear,NA,no,modulate,social context,suppress-control,yes,yes,between,mean,Accept,67,19.29,5,NA,Suppression,67,19.45,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.028829414,0.029853848,0.17278266
49,Individual differences in cognitive control processes and their relationship to emotion regulation,2016,1,yes,no,peer-reviewed,0.569620253,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,within,pval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,Control,NA,NA,NA,Suppress,NA,NA,NA,NA,78,0.5,NA,negative,-0.07624137,0.012695017,0.112672168
50,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,NA,no,yes,dissertation,0.413793103,yes,discrete,NA,disgust,NA,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Just watch (low-DS group),11.1,4.233202098,0.8,Suppression (low-DS group),11.3,4.233202098,0.8,NA,NA,NA,NA,NA,-0.047245559,0.035754145,0.189087666
50,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,NA,no,yes,dissertation,0.413793103,yes,discrete,NA,disgust,NA,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Just watch (high-DS group),15.1,2.19089023,0.4,Suppression (high-DS group),15.5,2.19089023,0.4,NA,NA,NA,NA,NA,-0.182574186,0.033888889,0.18408935
50,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,NA,no,yes,dissertation,0.413793103,yes,dimensional,negative,NA,NA,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Just watch (low-DS group),3.7,2.116601049,0.4,Suppression (low-DS group),3.9,2.645751311,0.5,NA,NA,NA,NA,NA,-0.08247861,0.035835763,0.189303362
50,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,NA,no,yes,dissertation,0.413793103,yes,dimensional,negative,NA,NA,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Just watch (high-DS group),6.2,2.19089023,0.4,Suppression (high-DS group),6.4,2.19089023,0.4,NA,NA,NA,NA,NA,-0.091287093,0.033472222,0.182954153
50,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,NA,no,yes,dissertation,0.413793103,yes,dimensional,positive,NA,NA,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Just watch (low-DS group),4,2.116601049,0.4,Suppression (low-DS group),3.9,2.645751311,0.5,NA,NA,NA,NA,NA,0.041239305,0.035744655,0.189062569
50,"Individual differences in disgust sensitivity and voluntary emotion regulation: Subjective, physiological, and behavioral responses to disgust and pleasant pictures",2003,NA,no,yes,dissertation,0.413793103,yes,dimensional,positive,NA,NA,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Just watch (high-DS group),5.4,2.19089023,0.4,Suppression (high-DS group),4.3,2.19089023,0.4,NA,NA,NA,NA,NA,0.502079011,0.037534722,0.193738799
51,Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.,1988,1,no,no,peer-reviewed,NA,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,tval,Teeth,30.66666667,5.14,NA,NA,Lips,46,4.32,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431283474,0.055560905,0.235713608
52,Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.,1988,2,no,no,peer-reviewed,0.457831325,no,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,tval,Teeth (before stim presentation),20.75,NA,NA,NA,Lips (before stim presentation),20.75,NA,NA,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552619174,0.100064915,0.316330389
52,Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.,1988,2,no,no,peer-reviewed,0.457831325,no,discrete,NA,happiness,yes,no,modulate,pictures,incidental-suppress,no,NA,between,tval,Teeth after stim presentation),20.75,NA,NA,NA,Lips (after stim presentation),20.75,NA,NA,NA,-1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.512259347,0.099547104,0.315510862
52,Inhibiting and facilitating conditions of the human smile: a nonobtrusive test of the facial feedback hypothesis.,1988,2,yes,no,peer-reviewed,0.457831325,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,pval,Teeth (before stim presentation),41.5,NA,NA,NA,Lips (before & after stim presentation),41.5,NA,NA,NA,NA,NA,81,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,-0.148737308,0.048326041,0.219831847
53,Intellectual performance and ego depletion: Role of the self in logical reasoning and other information processing,2003,2,no,no,peer-reviewed,0.594594595,yes,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,No regulation,18.5,16.39,4.19,NA,Suppression,18.5,17.74,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.232551842,0.108838924,0.329907447
54,Mapping the emotional landscape: The role of specific emotions in conceptual categorization.,2015,3,no,no,peer-reviewed,0.745454545,yes,discrete,NA,disgust,no,no,initiate,NA,exp.pose-exp.pose,no,NA,between,mean,"""Disgust"" face",30,2.17,0.47,NA,"""Neutral"" face",25,1.44,0.35,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.738383468,0.100805852,0.317499374
55,Mindful regulation of positive emotions: A comparison with reappraisal and expressive suppression,2014,1,no,no,peer-reviewed,0.666666667,yes,NA,NA,NA,no,yes,NA,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,No regulation,461.5,81.3,NA,Suppression,476.3,94.18,NA,NA,NA,NA,NA,NA,-0.167333382,0.022533338,0.150111087
