,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
335,"Larson, 2016","Larson, M. J., Clayson, P. E., Keith, C. M., Hunt, I. J., Hedges, D. W., Nielsen, B. L., & Call, V. R. (2016). Cognitive control adjustments in healthy older and younger adults: Conflict adaptation, the error-related negativity (ERN), and evidence of generalized decline with age. Biological psychology, 115, 50-63.",94,65,21.02,69.03,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT on incongruent trials (previous trial congruent) in milliseconds,no,2.62802162,2.743292385,1.656288739
336,"Niermeyer, 2017","Niermeyer, M. A., Suchy, Y., & Ziemnik, R. E. (2017). Motor sequencing in older adulthood: relationships with executive functioning and effects of complexity. The Clinical Neuropsychologist, 31(3), 598-618.",62,72,22.64,71.46,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute (Letter Fluency).,Number of words produced,no,0.068054249,0.612094488,0.782364677
337,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a category in one minute (Category Fluency).,Number of words produced,no,0.516867516,0.273947144,0.523399603
338,,,,,,,shifting,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute (Switching Fluency).,Number of words produced for alternating trials,no,0.522103403,0.058983251,0.242864676
339,,,,,,,updating,no,Design Fluency,"Participants must connect four either filled, empty, or alternating dots as fast as possible.",Number of designed produced for empty dot trials,no,0.570078679,0.066037086,0.25697682
340,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B,no,1.018916682,2.871059831,1.694420205
341,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in seconds,no,1.289821745,0.931298937,0.965038309
342,"O´Connor, 2015","O´Connor, P. J., Tomporowski, P. D., & Dishman, R. K. (2015). Age Moderates the Association of Aerobic Exercise with Initial Learning of an Online Task Requiring Cognitive Control. Journal of the International Neuropsychological Society, 21(10), 802-815.",2737,1153,18-35,65-89,inhibition,no,Flanker Task,Participants responded to direction of central stimuli (picture of a bird) by pressing the key that corresponded to the direction.,Percent correct,no,0.042888456,0.001233936,0.035127429
343,"Pettigrew, 2016","Pettigrew, C., & Martin, R. C. (2016). The role of working memory capacity and interference resolution mechanisms in task switching. The Quarterly Journal of Experimental Psychology, 69(12), 2431-2451.",102,60,21.2,71,shifting,no,Global Task Switching Task,"Participants switched between answering different questions about the stimuli. Based on a cue, participants either responded to the number, shape or size of the stimuli.",RT for mixed global decisions,no,1.217125829,750.8781678,27.40215626
344,,,,,,,updating,no,n-back,"Participants switched between answering questions about the stimuli. Based on a cue, participants responded to the number, shape or size of the stimuli. In the N-2 version of this task, participants had to switch between two question types per trial series.",RT for N-2 switch trials,no,1.184162109,741.7683248,27.23542408
345,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.189817031,0.071858058,0.268063534
346,"Sandberg, 2016","Sandberg, P., & Stigsdotter Neely, A. (2016). Long-term effects of executive process training in young and old adults. Neuropsychological rehabilitation, 26(5-6), 761-782.",19,24,26.5,71.3,updating,yes,Letter Memory Span Task,"Participants were presented with a series of lists of letters, one letter at a time, and were instructed to recall the last four letters of each list.",Number of correctly recalled four letter sequences,no,1.30783237,0.124246485,0.352486148
347,,,,,,,updating,no,Number Letter Sequencing Task,"Participants were presented with a series of lists of numbers, one number at a time, and were instructed to recall the last four numbers of each list (Number Memory Running Span).",Number of correctly recalled four digit sequences,no,0.725120839,0.172983122,0.415912397
348,,,,,,,updating,no,n-back,Participants were presented with a sequence of numbers and were asked whether each number matched the number that occurred three numbers before.,Number of correct responses minus number of false alarms,no,1.400065145,0.60903598,0.780407573
349,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT on Stroop list trials minus RT on color naming trials in seconds,no,1.376341389,0.638165924,0.79885288
350,,,,,,,inhibition,no,Flanker Task,Participants responded to central stimuli (letter) by pressing a key that corresponded to the letter.,RT on congruent trials minus RT on incongruent flanker trials,no,0.711860391,10.77986805,3.283270937
351,,,,,,,shifting,no,Modified Alternating Runs Task,Participants switched between answering questions about the stimuli. Participants were given a single letters and had to decide either whether the letter was vowel or cosonant or if the letter was at the beginning or end of the alphabet.,Choice RT minus shift and non-shift trials (shifting cost) in milliseconds,no,1.500358579,191.147441,13.82560816
352,,,,,,,shifting,yes,Plus-Minus Task,"Participants were given lists of numbers in which they either added or subtracted to each number. Following List 1 and List 2, participants completed List 3, which required alternating between adding and subtracting.",RT on mixed trials minus RT non-mixed trials (mixing cost) in milliseconds,no,-0.177139553,468.5294923,21.64554209
353,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.07449056,0.110313969,0.332135467
354,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.258648074,0.105382045,0.324626008
355,,,,,,,updating,no,Computation Span Task,Participants solved arithmetic problems and were instructed to remember the last digit from each problem.,Highest span when two of three trials were correct on pretest using controls,no,1.859028268,0.103353593,0.321486536
356,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.060230812,1.86712522,1.366427905
357,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in 90 seconds.,Number of words produced in 3 x 90 second trials,no,0.385224498,2.212103867,1.487314313
358,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a category in 90 seconds.,Number of words produced in 3 x 90 second trials,no,0.224698861,0.783605574,0.885214987
359,"Sauzéon, 2016","Sauzéon, H., N'Kaoua, B., Arvind Pala, P., Taillade, M., & Guitton, P. (2016). Age and active navigation effects on episodic memory: A virtual reality study. British Journal of Psychology, 107(1), 72-94.",30,30,22.28,66.7,processing speed,no,Mental Rotation Task,Participants must indicate if one stimuli is the same as a target stimuli,Number of correct responses,no,1.998329765,0.406379204,0.637478787
360,,,,,,,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",Number of interference errors in active condition,no,0.90407259,0.085572039,0.292526989
361,"Sauzéon, 2016","Sauzéon, H., N'Kaoua, B., Pala, P. A., Taillade, M., Auriacombe, S., & Guitton, P. (2016). Everyday_like memory for objects in ageing and A lzheimer's disease assessed in a visually complex environment: The role of executive functioning and episodic memory. Journal of neuropsychology, 10(1), 33-58.",23,23,22.2,73.6,processing speed,no,Mental Rotation Task,Participants must indicate if one stimuli is the same as a target stimuli,Number of correct responses,no,1.36262692,0.679417166,0.824267655
362,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.921271722,0.125791588,0.354671098
363,,,,,,,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",Number of interference errors,no,1.587185296,0.093799393,0.306266865
364,"Verrel, 2016","Verrel, J., Lisofsky, N., Kühn, S., & Lindenberger, U. (2016). Normal aging increases postural preparation errors: Evidence from a two-choice response task with balance constraints. Gait & posture, 44, 143-148.",16,16,25.4,67.4,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT of incongruent minus congruent trials in milliseconds,no,0.384769084,22.71861044,4.766404352
365,"Wang, 2017","Wang, Y., & Yang, J. (2017). Effects of Arousal and Context on Recognition Memory for Emotional Pictures in Younger and Older Adults. Experimental Aging Research, 43(2), 124-148.",27,33,20,70.76,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,3.193577184,0.099894795,0.316061379
366,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,-1.376859354,0.117293506,0.342481395
367,,,,,,,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Total number,no,-2.072809793,1.4963955,1.223272456
368,"Wesnes, 2016","Wesnes, K. A., McNamara, C., & Annas, P. (2016). Norms for healthy adults aged 18–87 years for the Cognitive Drug Research System: An automated set of tests of attention, information processing and memory for use in clinical trials. Journal of Psychopharmacology, 30(3), 263-272.",3988,1059,25.7,70.38,processing speed,no,Simple Reaction Time Task,Participants were instructed to responsed to a stimuli as quickly as possible,RT in milliseconds,no,1.082710933,0.150893223,0.388449769
369,,,,,,,processing speed,no,Processing Speed Task,Participants were instructed to responsed to a stimuli as quickly as possible,Number of correct responses,no,0.83155329,0.172447477,0.415267958
370,,,,,,,processing speed,no,Choice RT,Participants were instructed to indicate the location of a stimulus as quickly as possible.,RT in milliseconds,no,1.458047309,0.314821487,0.561089554
371,,,,,,,updating,no,Updating Task,"Participants completed a Spatial Working Memory task, in which they were instructed to remember the position of lit windows. Then participants were presented with images one at a time and were asked whether the the window that was lit was one of the original windows that were lit in the beginning of the trial.",Percent of correct responses for the original stimuli,no,0.565431053,0.037268911,0.193051575
372,,,,,,,updating,no,Sternberg Task,Participants indicated whether or not a single number was presented at the beginning of a trial.,Percent of correct responses for the original stimuli,no,0.307082775,0.010431994,0.102137134
373,"Aisenberg, 2014","Aisenberg, D., Sapir, A., d'Avossa, G., & Henik, A. (2014). Long trial durations normalise the interference effect and sequential updating during healthy aging. Acta psychologica, 153, 169-178.",15,15,22.2,72.8,inhibition,no,Simon Task,"Participants were instructed to press the corresponding button based on the color of stimulus. Stimuli were presented at various locations from fixation, creating congruent, incongruent, and neutral trials.",RT on incongruent trials in milliseconds,no,0.829755649,56.13860006,7.492569657
374,"Aisenberg, 2015","Aisenberg, D., Cohen, N., Pick, H., Tressman, I., Rappaport, M., Shenberg, T., & Henik, A. (2015). Social priming improves cognitive control in elderly adults—Evidence from the Simon task. PloS one, 10(1), e0117151.",45,51,23.8,71.9,inhibition,no,Simon Task,"Participants were instructed to press the corresponding button based on the color of stimulus. Stimuli were presented at various locations from fixation, creating congruent, incongruent, and neutral trials.",RT on incongruent trials in milliseconds,no,3.109467644,27.15825266,5.211358044
375,"Arvind Pala, 2014","Arvind Pala, P., N'Kaoua, B., Mazaux, J. M., Simion, A., Lozes, S., Sorita, E., & Sauzeon, H. (2014). Everyday-like memory and its cognitive correlates in healthy older adults and in young patients with traumatic brain injury: a pilot study based on virtual reality. Disability and Rehabilitation: Assistive Technology, 9(6), 463-473.",16,15,22.44,66.53,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT [(Trail B-Trail A)/Trail A] in seconds,no,0.285266739,0.135514568,0.368123034
376,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Number of interference errors,no,1.787000802,0.138575797,0.372257702
377,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.739224153,0.934443986,0.966666429
378,"Alperin, 2014","Alperin, B. R., Mott, K. K., Holcomb, P. J., & Daffner, K. R. (2014). Does the age-related “anterior shift” of the P3 reflect an inability to habituate the novelty response?. Neuroscience letters, 577, 6-10.",25,29,22.6,72.83,inhibition,no,Oddball Task,Participants were instructed to press a button when target stimuli occurred and not to respond to common targets.,RT on Block 1 in milliseconds,no,0.659500845,56.47980134,7.515304475
379,"Allain, 2005","Allain, P., Nicoleau, S., Pinon, K., Etcharry-Bouyx, F., Barré, J., Berrut, G., ... & Le Gall, D. (2005). Executive functioning in normal aging: A study of action planning using the Zoo Map Test. Brain and cognition, 57(1), 4-7.",16,18,28.6,80.3,updating,no,Zoo Map Task,Participants were given a map with locations to visit and a set of rules to follow. Participants were required to follow instructions for each trial.,Number of errors made in the execution condition,no,0.379336841,0.116259123,0.340967921
380,"Bialystok, 2014A","Bialystok, E., Poarch, G., Luo, L., & Craik, F. I. (2014). Effects of bilingualism and aging on executive function and working memory. Psychology and aging, 29(3), 696.",27,25,20.3,71.3,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",RT for color interference in seconds,no,1.202600554,8.920010727,2.986638701
381,"Bialystok, 2014B","Bialystok, E., Poarch, G., Luo, L., & Craik, F. I. (2014). Effects of bilingualism and aging on executive function and working memory. Psychology and aging, 29(3), 696.",44,34,20.4,67.6,inhibition,no,Recent Probe Task,"Participants were instructed to remember a list of letters presented at the beginning of a trial, then letters were presented one at a time and participants responded whether or not each letter was one of the original letters presented at the beginning of a trial.",Proportion correct responses for positive baseline condition,no,0.414909087,0.051240513,0.226363675
382,"Bouazzaoui, 2014A","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",60,60,32.5,67.98,shifting,yes,WCST,"A shortened form of the Wisconsin Card Sorting Task, in which participants must sort cards based on rules learned while completing the task.",Number of perseverative errors,no,0.864974121,0.165922635,0.407336023
383,"Bouazzaoui, 2014B","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",52,52,32.78,70.62,shifting,yes,WCST,"A shortened form of the Wisconsin Card Sorting Task, in which participants must sort cards based on rules learned while completing the task.",Number of perseverative errors,no,0.83524788,0.185059891,0.430185879
384,"Bouazzaoui, 2014C","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",60,60,25.3,70.96,shifting,yes,WCST,"A shortened form of the Wisconsin Card Sorting Task, in which participants must sort cards based on rules learned while completing the task.",Number of perseverative errors,no,1.352763916,0.093386401,0.305591886
385,"Bouazzaoui, 2014A","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",52,52,32.5,67.98,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of words produced in three minutes,no,1.261669804,0.242826668,0.492774459
386,"Bouazzaoui, 2014B","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",52,52,32.78,70.62,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of words produced in three minutes,no,1.088748208,0.261161056,0.511039192
387,"Bouazzaoui, 2014C","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",52,52,25.3,70.96,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of words produced in three minutes,no,1.254895681,0.393280306,0.627120647
388,"Bouazzaoui, 2014A","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",55,57,32.5,67.98,updating,no,Verbal Fluency,Participants produced as many words as possible given a category in one minute.,Number of words produced in three minutes,no,0.862854419,0.128116585,0.357933771
389,"Bouazzaoui, 2014B","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",55,57,32.78,70.62,updating,no,Verbal Fluency,Participants produced as many words as possible given a category in one minute.,Number of words produced in three minutes,no,0.896568194,0.129650757,0.360070488
390,"Bouazzaoui, 2014C","Bouazzaoui, B., Angel, L., Fay, S., Taconnat, L., Charlotte, F., & Isingrini, M. (2014). Does the greater involvement of executive control in memory with age act as a compensatory mechanism?. Canadian Journal of Experimental Psychology/Revue canadienne de psychologie expérimentale, 68(1), 59.",55,57,25.3,70.96,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Number of correct responses in 45 seconds [(Score color naming - Score color interference/Score color naming],no,1.51904132,0.035300056,0.187883092
391,"Anderson, 2011","Anderson, M. C., Reinholz, J., Kuhl, B. A., & Mayr, U. (2011). Intentional suppression of unwanted memories grows more difficult as we age. Psychology and aging, 26(2), 397.",32,32,20.6,73.5,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,-2.070591336,0.694706184,0.833490362
392,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,-2.276351533,1.210879508,1.100399704
393,,,,,,,inhibition,no,Go/No-Go Task,"Participants studied pairs of words for a recall task. During the think/no-think phase, participants were presented with hint words and were instructed to either respond or suppress response to hint word, then participants completed the cued recall task.",Percent correct on independent probe trials with zero repetition,no,0.8246703,1.909780729,1.381948164
394,,,,,,,inhibition,no,Go/No-Go Task,"Participants studied pairs of words for a recall task. During the think/no-think phase, participants were presented with hint words and were instructed to either respond or suppress response to hint word, then participants completed the cued recall task.",Percent correct on independent probe trials with zero repetition,no,0.745428668,1.681064474,1.296558704
395,"Andrés, 2000","Andrés, P., & Van der Linden, M. (2000). Age-related differences in supervisory attentional system functions. The Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 55(6), P373-P380.",47,48,22.8,65,updating,yes,Tower of London,Participants rearranged colored beads to match a target configuration following a set of rules.,Number of moves,no,-0.443597313,0.042467336,0.206076045
396,,,,,,,inhibition,no,Hayling Task,"Participants were presented with sentences with the last word missing. In Part A, participants completed the sentence with an expected word, whereas in Part B participants were instructed to complete the sentence with a grammatically correct word that did not fit the sentence meaning.",Number of correct responses,no,0.483716508,0.063206762,0.251409551
397,,,,,,,updating,no,Brixton Task,Participants were asked to predict where the dot will appear next using knowledge from previous trials.,Number of errors,no,0.285573761,3.370718033,1.835951533
398,"Baudouin, 2006","Baudouin, A., Vanneste, S., Pouthas, V., & Isingrini, M. (2006). Age-related changes in duration reproduction: Involvement of working memory processes. Brain and Cognition, 62(1), 17-23.",23,21,27.75,71.71,updating,no,n-back,Participants were presented with a sequence of letters and were asked whether each letter matched one of the letters that occurred on one of the three previous letters.,Number of correct responses,no,1.777674916,0.122100715,0.349429128
399,,,,,,,updating,no,Alphabetical span,Participants heard a list of words in a random order and were instructed to repeat the words in alphabetical order.,Number of correct words recalled in alphabetical order for three sets,no,2.478759689,0.233444451,0.483160896
400,,,,,,,updating,no,Computation Span Task,Participants solved arithmetic problems and were instructed to remember the a digit from each problem.,Number of correctly recalled digits,no,1.73060409,0.393062711,0.626947135
401,,,,,,,processing speed,no,Duration Reproduction Task,Participants had to create irrelevant speech,Index Score,no,0.755621902,0.08803517,0.296707213
402,,,,,,,inhibition,no,Duration Reproduction Task,"Participants estimated the duration a stimulus was presented on the screen during the encoding phase, then on reproduction trials participants pressed a button to indicate the same duration had elapsed while simultaneously saying words aloud.",Time estimation accuracy ratio (subjective duration/objective duration) in concurrent condition,no,-0.979912615,0.088441071,0.297390435
403,"El Haj, 2012","El Haj, M., Fasotti, L., & Allain, P. (2012). The involuntary nature of music-evoked autobiographical memories in Alzheimer’s disease. Consciousness and cognition, 21(1), 238-246.",16,16,21.19,73.75,shifting,yes,Plus-Minus Task,"Participants were given lists of numbers in which they either added or subtracted to each number. Following List 1 and List 2, participants completed List 3, which required alternating between adding and subtracting.",RT on List 3 minus average RT on List 1 and List 2 in seconds,no,0.905523932,0.180888345,0.425309705
404,,,,,,,updating,no,n-back,Participants were presented with a sequence of letters and were asked whether each letter matched the letter that occurred two letters before.,Number of errors,no,1.401376156,0.284982213,0.533837253
405,,,,,,,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",RT for color interference minus RT for word reading and color naming in seconds,no,2.866172229,1.123696499,1.060045518
406,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in two minutes.,Number of words produced in two minutes,no,-0.347319561,0.610265435,0.781194876
407,"El Haj, 2013","El Haj, M., Postal, V., & Allain, P. (2013). Destination memory in Alzheimer’s disease: When I imagine telling Ronald Reagan about Paris. Cortex, 49(1), 82-89.",18,18,21.78,73.28,shifting,yes,Plus-Minus Task,"Participants were given lists of numbers in which they either added or subtracted to each number. Following List 1 and List 2, participants completed List 3, which required alternating between adding and subtracting.",RT on List 3 minus average RT on List 1 and List 2 in seconds,no,0.835849425,0.228118694,0.477617728
408,,,,,,,updating,no,n-back,Participants were presented with a sequence of letters and were asked whether each letter matched the letter that occurred two letters before.,Number of errors,no,1.27299868,0.333815929,0.577768058
409,,,,,,,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",RT for color interference minus RT for word reading and color naming in seconds,no,2.898486472,0.997033361,0.998515579
410,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in two minutes.,Number of words produced in two minutes,no,-0.508091393,0.514104933,0.717011111
411,,,,,,,updating,no,Working Memory Task,"Participants completed a binding task, in which participants were presented with grids with a letter in different locations, and participants were instructed to remember the location of each letter.",Percent correct,no,0.562182695,0.106629383,0.326541548
412,"El Haj, 2013","El Haj, M., Postal, V., Le Gall, D., & Allain, P. (2013). Destination memory in mild Alzheimer's disease. Behavioural Neurology, 26(3), 215-216.",16,16,20.98,74.41,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",RT for color interference minus RT for word reading and color naming in seconds,no,2.436748639,1.242763683,1.114793112
413,,,,,,,updating,no,n-back,Participants were presented with a sequence of numbers and were asked whether each number matched the number that occurred three numbers before.,Number of errors,no,-0.746284747,0.420281005,0.648290834
414,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in two minutes.,Number of words produced in two minutes,no,-0.452713091,0.613187347,0.783062799
415,,,,,,,shifting,no,Plus-Minus Task,"Participants were given lists of numbers in which they either added or subtracted to each number. Following List 1 and List 2, participants completed List 3, which required alternating between adding and subtracting.",RT on List 3 minus average RT on List 1 and List 2 in seconds,no,-0.60566614,0.277262455,0.526557172
416,,,,,,,updating,no,Working Memory Task,"Participants completed a binding task, in which participants were presented with grids with a letter in different locations, and participants were instructed to remember the location of each letter.",Percent correct,no,0.543041829,0.119465829,0.345638292
417,"Bernstein, 2011","Bernstein, D. M., Thornton, W. L., & Sommerville, J. A. (2011). Theory of mind through the ages: Older and middle-aged adults exhibit more errors than do younger adults on a continuous false belief task. Experimental Aging Research, 37(5), 481-502.",38,37,19.2,67.6,shifting,no,Trail Making Test,"Participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT on Trail B,no,7.120158828,0.181438167,0.425955593
418,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT for color interference minus RT for word reading,no,8.705696606,0.06717668,0.259184644
419,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter.,Number of words produced,no,-1.213082133,0.068945635,0.262575008
420,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,11.95520967,0.08301369,0.288120965
421,,,,,,,updating,no,Letter Number Sequencing Task,Participants viewed a series of letters and numbers then are asked to repeat numbers back in ascending order and letters in alphabetical order.,Number of correct responses,no,3.076424061,0.054462603,0.233372241
422,"Brennan, 1997","Brennan, M., Welsh, M. C., & Fisher, C. B. (1997). Aging and executive function skills: An examination of a community-dwelling older adult population. Perceptual and motor skills, 84(3_suppl), 1187-1197.",12,19,19,75,inhibition,yes,Tower of Hanoi,Participants rearranged colored beads to match a target configuration following a set of rules.,Number of moves (efficiency score) with three disks,no,0.820200414,0.62593519,0.79116066
423,"Brickman, 2007","Brickman, A. M., Habeck, C., Zarahn, E., Flynn, J., & Stern, Y. (2007). Structural MRI covariance patterns associated with normal aging and neuropsychological functioning. Neurobiology of aging, 28(2), 284-295.",84,29,24.02,73.14,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.432524369,1.411300795,1.187981816
424,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,1.469276915,3.219770159,1.794371801
425,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter..,Number of words produced in 3 x 60 second trials,no,0.395876083,0.700108919,0.836725116
426,"El Haj, 2014","El Haj, M., Omigie, D., & Clément, S. (2014). Music causes deterioration of source memory: Evidence from normal ageing. The Quarterly Journal of Experimental Psychology, 67(12), 2381-2391.",41,35,23.32,67.94,inhibition,yes,Stroop,"Participants completed three tasks, in which participants either read printed words or named the color of stimuli.",RT for color interference minus RT for word reading and color naming in seconds,no,2.870724411,0.469353408,0.685093722
427,,,,,,,updating,no,n-back,Participants were presented with a sequence of letters and were asked whether each letter matched the letter that occurred two letters before.,Number of errors,no,0.779701472,0.112226049,0.335001565
428,,,,,,,shifting,yes,Plus-Minus Task,"Participants were given lists of numbers in which they either added or subtracted to each number. Following List 1 and List 2, participants completed List 3, which required alternating between adding and subtracting.",RT on List 3 minus average RT on List 1 and List 2 in seconds,no,0.878933888,0.128938445,0.359079998
429,,,,,,,updating,no,Working Memory Task,"Participants completed a binding task, in which participants were presented with grids with a letter in different locations, and participants were instructed to remember the location of each letter.",Number of correct responses,no,-0.838567657,0.069242107,0.26313895
430,"Bryan, 2001","Bryan, J., & Luszcz, M. A. (2001). Adult age differences in self-ordered pointing task performance: Contributions from working memory, executive function and speed of information processing. Journal of Clinical and Experimental Neuropsychology, 23(5), 608-619.",60,60,23.85,73.83,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.675645868,0.045298431,0.212834281
431,,,,,,,updating,no,Updating Task,"Participants completed a Subtract Two span task, in which participants were given a list of digits and were instructed to subtract two from each digit and recall the answer aloud.",Number of correctly produced strings,no,0.623131142,0.044442153,0.210813075
432,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.585909171,0.460732779,0.678772995
